VIN,BRAND,MODEL,COLOR,ENGINE,TRANSMISSION,MPG,DEALER_ID,DATE_SOLD_TO_DEALER,MANUFACTURER
9C2Q5A7Q6O6E8O9T5,Panoz,Esperante,Orange,1,leading edge,27,1,2018-03-01,"Roberts, Pacocha and Hills"
0S1F4Z3W6J1F6T9T5,Ford,Taurus,Fuscia,8,Focused,21,2,2017-08-16,Runte and Sons
6S9Z2K5D1N3N3E8T3,Land Rover,Range Rover,Pink,11,scalable,17,3,2017-11-12,Dibbert-Kuphal
2D8W5A2Y5K3E7H7N3,Hyundai,Excel,Mauv,1,hardware,45,4,2018-03-08,"Haag, Gutkowski and Von"
1Y9M9T1C2P1K5N8O7,Chevrolet,Malibu,Green,2,human-resource,31,5,2018-01-02,Daugherty-Schultz
5Z6C0C9B0J2K5C4A1,Mercedes-Benz,R-Class,Indigo,4,Digitized,12,6,2017-05-24,Wolff Inc
1X8K6Y0A4J5Q8Q6Q9,Dodge,Ram 3500,Mauv,11,Cross-platform,31,7,2017-12-04,Hegmann LLC
0B7D3S4S6T7F3E3H5,Suzuki,Reno,Indigo,10,protocol,50,8,2017-08-06,Treutel LLC
4B2L0F3T2X8C6W6P9,Dodge,Durango,Maroon,5,superstructure,38,9,2017-04-25,"Brekke, Schroeder and Braun"
4P1P3G1X4E2B2H3U8,GMC,Sierra 1500,Fuscia,3,Extended,41,10,2017-09-28,Lind LLC
7Q8V1D1C7K9E8E4W2,Chevrolet,Monte Carlo,Fuscia,8,hardware,25,11,2017-12-09,Altenwerth LLC
5I9S1I8S3S9B6L5B0,Ford,Ranger,Indigo,16,Assimilated,24,12,2017-06-01,Goldner-Murazik
1J3A2V6P5F3T3R3O7,Plymouth,Sundance,Blue,12,dynamic,40,13,2017-09-16,Wolff LLC
6U7M5A5T8D7P6Y4M2,Ford,Mustang,Yellow,1,parallelism,30,14,2017-04-04,Smitham LLC
0Q7P8Z6S9H8A0N3X7,BMW,X6 M,Mauv,12,moratorium,13,15,2018-03-05,Will Inc
6C5V0V8F8K2A1T0J6,Mazda,626,Yellow,9,Organic,13,16,2018-02-04,"Hansen, Aufderhar and Volkman"
9V2P7Q1Q1M6M0Y7L1,Mitsubishi,Diamante,Orange,1,policy,14,17,2018-02-03,Jacobs Group
1J2H6I5F4N8U3D6I7,Jaguar,S-Type,Violet,15,Open-architected,32,18,2017-12-30,"Luettgen, Buckridge and Jones"
4N4B4P6X7S9A0O4S6,Suzuki,Grand Vitara,Orange,4,hybrid,49,19,2017-09-08,Wyman-Rau
0G9Q3D5U2U2W8S3W7,Pontiac,Solstice,Fuscia,6,analyzing,30,20,2018-02-01,"Rempel, Mante and Sawayn"
2Q9E7N6M2S0U0Y5N5,Bentley,Mulsanne,Green,15,solution,20,21,2017-06-23,Boyle-Miller
2P2V9Q0R5Z8E0U1R4,Infiniti,Q,Maroon,6,strategy,45,22,2017-10-16,"Franecki, Powlowski and Feeney"
1P9M5U7S6F1M6J6J7,Honda,Odyssey,Red,5,bifurcated,40,23,2018-01-15,Nitzsche-Sporer
1A1X8E0A4M5X8P4W8,Saab,9000,Fuscia,16,architecture,48,24,2017-06-17,"Jones, Okuneva and Heidenreich"
4C4V0T9T0M7W8P6U6,Chevrolet,Tracker,Teal,8,intermediate,50,25,2017-06-27,Cummerata LLC
6B8N8Q7D1I3K1C8J3,Hyundai,Genesis,Mauv,10,Devolved,46,26,2017-12-26,Schuster-Runolfsdottir
3G9J6D0N5X0E5B7K1,Dodge,Neon,Indigo,14,projection,15,27,2017-05-14,Carter and Sons
8D9P2Q8N7H1O9J9I3,Pontiac,Firefly,Goldenrod,12,Visionary,25,28,2018-03-05,"Lehner, Ebert and Harber"
7J1I8T9U8F5A6T8X8,Honda,Civic,Maroon,15,coherent,43,29,2017-12-20,Erdman-Murazik
6P2Q1I9P7C4L1B4B9,Saturn,S-Series,Green,4,Integrated,39,30,2017-06-14,Kassulke and Sons
6G8H8J6C2I5V1H0C7,Mitsubishi,Montero,Pink,5,Progressive,19,31,2017-05-12,"Wolff, Balistreri and Howe"
3J0T2F9F9X6A4E6F3,Volvo,C70,Blue,6,website,36,32,2018-02-05,Rogahn Inc
5B0U0I4Z9K3Y9M4W4,Ford,F-Series Super Duty,Green,2,Re-contextualized,16,33,2017-06-18,Leannon Inc
9P0B0Y8G1M2X8G7A7,Jeep,Compass,Red,2,Multi-lateral,48,34,2017-06-15,"Lebsack, Pfeffer and Cole"
7T5T6R0Q2W6L2N9C8,Plymouth,Neon,Purple,3,Cloned,40,35,2017-11-15,Goldner-Bogisich
0M6B2A9Y9C3U1Z3Q8,Lamborghini,Gallardo,Violet,14,pricing structure,38,36,2017-10-15,Kulas Inc
0V4D5A0P6H4J7C5K8,Chrysler,300,Maroon,8,Fundamental,24,37,2018-01-16,Denesik-Daniel
5T5L3N7E4F1A7D0B7,Ford,Ranger,Teal,1,bifurcated,25,38,2017-04-24,Reinger-Greenholt
6M6B0G5F4O2F0B9Z2,Plymouth,Prowler,Puce,3,knowledge user,31,39,2017-09-03,"Reilly, Denesik and Reynolds"
8R0D9G9X0U0R0S7S1,Mazda,Mazda5,Aquamarine,13,Devolved,39,40,2018-02-25,Leffler-Carroll
4H6T6Y7H9H8A8T2T5,GMC,Sierra 2500,Fuscia,16,needs-based,23,41,2017-12-27,Keebler and Sons
3M3J3M7I2B5B7X1V8,Mercedes-Benz,E-Class,Orange,12,composite,32,42,2017-10-12,Bashirian Group
5D6Q5T8J2F4X1J4E5,Pontiac,Sunbird,Crimson,15,Reduced,32,43,2017-12-17,"Fadel, Gerlach and Kub"
3U5P5I2C1S9L5M6D6,Spyker,C8,Puce,13,matrix,11,44,2017-04-22,Boehm LLC
2X0W8U5J1H7L0V0V0,Chevrolet,Camaro,Khaki,4,core,15,45,2017-03-25,"Cremin, Donnelly and Cole"
2H2U4B8C1B8W9A2P8,Pontiac,Trans Sport,Red,2,Vision-oriented,23,46,2018-02-26,Auer-Brekke
2S5Y3C4D9Z0C2U0Z1,Pontiac,Montana,Turquoise,2,strategy,30,47,2018-02-09,Kunde-West
4S4M6B0O0H8G1A2U1,Nissan,Maxima,Indigo,9,Mandatory,19,48,2018-02-17,"Rolfson, Cartwright and Weimann"
5C5G2J0U5A3V9Y2H6,Bentley,Continental,Green,10,migration,49,49,2017-03-28,Turcotte Inc
5P3T9U1G8V2A3T7E6,Kia,Sedona,Goldenrod,7,explicit,48,50,2017-09-05,Swaniawski-O'Keefe
3O5N3T9E5P0H4B5P7,Nissan,GT-R,Mauv,12,client-driven,28,51,2017-05-09,Berge-Corwin
4D0L9T1C4T8K5F5I0,Toyota,Tundra,Purple,7,Function-based,25,52,2018-01-12,Metz and Sons
7P7G6I3D6H8K2S0I4,Suzuki,XL7,Fuscia,7,demand-driven,30,53,2017-05-16,Tillman-Mayert
9I7A3Z8Y3S4C7D6L2,GMC,Savana 2500,Khaki,16,system-worthy,31,54,2017-09-21,Johns-Brown
1E2Q7V8H2D9S0F4Q7,Saab,9000,Crimson,16,service-desk,24,55,2018-02-02,Murray-Graham
7C4L4Z6J1I6K6B0P9,Dodge,Grand Caravan,Indigo,13,Profit-focused,47,56,2018-02-24,Spinka-Hoppe
6D5X1O0X9W6T7A6H2,Mitsubishi,Galant,Green,9,bi-directional,12,57,2018-02-02,"Beahan, Pacocha and Senger"
7H0J2B6X0U1B0N4W2,Nissan,370Z,Crimson,11,challenge,46,58,2017-05-02,McKenzie Inc
6T8R4Z6I3L8O0W0H6,Mitsubishi,Mirage,Blue,9,Right-sized,25,59,2017-04-15,"Kunde, Walter and O'Kon"
8G8D3C1L0S0Y5B3L0,Chevrolet,Suburban 2500,Blue,2,task-force,31,60,2017-12-05,Olson-Farrell
7A3D8S5T3B0H3E2A0,Pontiac,Grand Am,Green,4,fault-tolerant,27,61,2018-03-14,Boyer Inc
6V1Z4F4O3M1M6F2V4,Mitsubishi,Precis,Fuscia,10,Phased,10,62,2017-11-14,Nienow LLC
5J5V9B8K5A2Y1E5N4,Honda,Prelude,Green,3,incremental,21,63,2017-10-25,Borer LLC
3F1L1F6R7H2K3Q0O5,Dodge,Viper,Fuscia,13,Reverse-engineered,20,64,2018-01-28,"Hettinger, McCullough and Bernier"
1M4W3D1O4T4T6H4C8,Lamborghini,Countach,Red,16,Progressive,25,65,2017-08-11,Will and Sons
1T4K6E7H3A4R9Q1F6,Ford,E250,Turquoise,5,moratorium,16,66,2018-02-28,"Emmerich, Hansen and Collier"
6G1S3R0G5T7I6T0C0,Lincoln,Continental Mark VII,Fuscia,2,zero administration,22,67,2017-10-10,Bahringer-Heaney
6M4J9G5L6N6W0W9F8,Hyundai,XG350,Maroon,1,moderator,47,68,2017-11-21,Christiansen-Nienow
7W6S8D4K9A5J4Y8A5,Hyundai,Santa Fe,Fuscia,4,productivity,15,69,2017-10-03,"Schuppe, Collins and Marvin"
5N1T5A2J3G7N1I0C4,Suzuki,Reno,Maroon,9,Ergonomic,19,70,2017-06-11,Moen Inc
4Q4E1B7N6I7T1G4R0,Maserati,GranTurismo,Orange,12,coherent,20,71,2018-02-17,McGlynn LLC
7A1M7Y3V2Z5A9H3W7,Cadillac,SRX,Pink,11,function,13,72,2017-11-09,Bernhard-Hermann
8W8G0D8M8X7O8W2X7,Mazda,Miata MX-5,Aquamarine,3,Upgradable,31,73,2018-03-19,Flatley-Runolfsdottir
5V8Q4U3Y7P1O4E6M7,Oldsmobile,Aurora,Khaki,9,human-resource,32,74,2017-08-04,Hodkiewicz-Pagac
7D9H5I2U9J4F2V8M2,GMC,Savana 1500,Teal,10,bi-directional,49,75,2017-03-29,Beer LLC
